asset,policy,delay_ms,fee_bps,fill_fraction,adverse_selection_bps,daily_utility_difference,mlp_minus_logistic_utility,mlp_minus_logistic_f1,opposite_mean_directions
ETH,fixed_confidence,100,0,0.25,1,"[-0.027718335788269884, -0.004097299285936231, -0.006624587420671539]",-0.012813407498292552,0.1584938751647065,True
ETH,fixed_confidence,100,0,0.25,5,"[-0.14035640411603764, -0.016645314650853005, -0.0399621838737559]",-0.06565463421354885,0.1584938751647065,True
ETH,fixed_confidence,100,0,0.5,0,"[0.0008823625873441245, -0.001920590889414074, 0.003419623385199108]",0.0007937983610430528,0.1584938751647065,False
ETH,fixed_confidence,100,0,0.5,1,"[-0.05543667157653977, -0.008194598571872462, -0.013249174841343078]",-0.025626814996585104,0.1584938751647065,True
ETH,fixed_confidence,100,0,0.5,5,"[-0.2807128082320753, -0.03329062930170601, -0.0799243677475118]",-0.1313092684270977,0.1584938751647065,True
ETH,fixed_confidence,100,0,1,0,"[0.001764725174688249, -0.003841181778828148, 0.006839246770398216]",0.0015875967220861057,0.1584938751647065,False
ETH,fixed_confidence,100,0,1,1,"[-0.11087334315307953, -0.016389197143744923, -0.026498349682686155]",-0.05125362999317021,0.1584938751647065,True
ETH,fixed_confidence,100,0,1,5,"[-0.5614256164641506, -0.06658125860341202, -0.1598487354950236]",-0.2626185368541954,0.1584938751647065,True
ETH,fixed_confidence,100,5,0.25,0,"[-0.281154134898316, -0.03233034935344082, -0.08163487825180658]",-0.13170645416785445,0.1584938751647065,True
ETH,fixed_confidence,100,5,0.25,1,"[-0.3093136519802579, -0.035467353194670016, -0.08996927736507768]",-0.14491676084666852,0.1584938751647065,True
ETH,fixed_confidence,100,5,0.25,5,"[-0.4219517203080257, -0.04801536855958679, -0.12330687381816205]",-0.19775798756192484,0.1584938751647065,True
