family,group,endpoint,metric,n,raw,standardized_group_conditionals,q_F,q_A,q_N,ell_F,ell_A,ell_N
rebound,May-Jul,equal_day,onehot-A,634,0.6158869073902431,0.5376884422110553,0.042666885900065815,0.384113092609757,0.5732200214901773,0.9999999999999999,0.0,1.0
rebound,May-Jul,equal_day,onehot-N,634,0.4267799785098229,0.5360134003350082,0.042666885900065815,0.384113092609757,0.5732200214901773,0.9999999999999999,0.9999999999999998,0.0
rebound,May-Jul,equal_day,uniform,634,0.33333333333333326,0.3333333333333336,0.042666885900065815,0.384113092609757,0.5732200214901773,0.33333333333333337,0.3333333333333337,0.33333333333333354
rebound,May-Jul,equal_day,train-frequency,634,0.2705327924150991,0.2827762486356966,0.042666885900065815,0.384113092609757,0.5732200214901773,0.6435219088182398,0.25491219357535877,0.25323715169931155
rebound,May-Jul,equal_day,P-C,634,-0.001583878890323251,0.0001367434971777194,0.042666885900065815,0.384113092609757,0.5732200214901773,0.010953410311874799,0.006537842970635483,-0.007959418215894534
rebound,May-Jul,equal_day,R-C,634,0.0035052099584413667,0.014702958707569356,0.042666885900065815,0.384113092609757,0.5732200214901773,0.07175796492247756,0.059811970545094344,-0.039306093785617856
rebound,May-Jul,equal_day,R-P,634,0.005089088848764614,0.014566215210391632,0.042666885900065815,0.384113092609757,0.5732200214901773,0.060804554610602746,0.053274127574458846,-0.031346675569723315
rebound,May-Jul,equal_day,C-frequency,634,0.014773796059979291,0.018148732989189863,0.042666885900065815,0.384113092609757,0.5732200214901773,0.06628077611933537,0.023741270154779483,0.0049308623919727575
rebound,May-Jul,equal_day,P-frequency,634,0.013189917169656043,0.018285476486367584,0.042666885900065815,0.384113092609757,0.5732200214901773,0.07723418643121018,0.030279113125414973,-0.003028555823921778
rebound,May-Jul,equal_day,R-frequency,634,0.018279006018420654,0.032851691696759236,0.042666885900065815,0.384113092609757,0.5732200214901773,0.1380387410418129,0.08355324069987384,-0.03437523139364508
rebound,May-Jul,equal_day,frequency-uniform,634,-0.06280054091823424,-0.05055708469763674,0.042666885900065815,0.384113092609757,0.5732200214901773,0.31018857548490636,-0.07842113975797474,-0.08009618163402162
rebound,May-Jul,pooled,C,634,0.28963626714012486,0.2992135959282435,0.05205047318611987,0.3974763406940064,0.5504731861198738,0.7112793014112246,0.2660674031505318,0.26678564706686175
